countyFIPS	deaths	type	days_since_first_death
01081	8.0	observed	14
01081	8.0	observed	15
01081	8.0	observed	16
01081	10.0	observed	17
01081	11.0	observed	18
01081	11.0	observed	19
01081	11.0	observed	20
01081	14.0	observed	21
01081	16.0	observed	22
01081	20.0	observed	23
01081	22.0	observed	24
01081	23.0	observed	25
01081	24.0	observed	26
01081	24.0	observed	27
01081	25.0	observed	28
01081	28.0	observed	29
01081	28.0	observed	30
01081	28.0	observed	31
01081	28.0	observed	32
01081	28.0	observed	33
01081	28.0	observed	34
01081	28.0	observed	35
01081	29.0	observed	36
01081	30.0	observed	37
01081	30.0	observed	38
01081	30.0	observed	39
01081	30.0	observed	40
01081	30.0	observed	41
01085	1.0	observed	0
01085	1.0	observed	1
01085	1.0	observed	2
01085	1.0	observed	3
01085	1.0	observed	4
01085	1.0	observed	5
01085	1.0	observed	6
01085	1.0	observed	7
01085	1.0	observed	8
01085	1.0	observed	9
01085	1.0	observed	10
01085	1.0	observed	11
01085	3.0	observed	12
01085	5.0	observed	13
01085	5.0	observed	14
01085	5.0	observed	15
01085	5.0	observed	16
01085	5.0	observed	17
01085	6.0	observed	18
01087	1.0	observed	0
01087	1.0	observed	1
01087	1.0	observed	2
01087	1.0	observed	3
01087	1.0	observed	4
01087	1.0	observed	5
01087	1.0	observed	6
01087	1.0	observed	7
01087	2.0	observed	8
01087	2.0	observed	9
01087	2.0	observed	10
01087	2.0	observed	11
01087	2.0	observed	12
01087	2.0	observed	13
01087	2.0	observed	14
01087	2.0	observed	15
01087	2.0	observed	16
01087	2.0	observed	17
01087	2.0	observed	18
01087	2.0	observed	19
01087	2.0	observed	20
01087	2.0	observed	21
01087	2.0	observed	22
01087	2.0	observed	23
01087	2.0	observed	24
01087	2.0	observed	25
01087	2.0	observed	26
01087	2.0	observed	27
01087	2.0	observed	28
01087	2.0	observed	29
01087	2.0	observed	30
01087	2.0	observed	31
01087	2.0	observed	32
01087	2.0	observed	33
01087	2.0	observed	34
01089	1.0	observed	0
01089	1.0	observed	1
01089	1.0	observed	2
01089	1.0	observed	3
01089	1.0	observed	4
01089	1.0	observed	5
01089	1.0	observed	6
01089	1.0	observed	7
01089	1.0	observed	8
01089	1.0	observed	9
01089	2.0	observed	10
01089	2.0	observed	11
01089	2.0	observed	12
01089	3.0	observed	13
01089	3.0	observed	14
01089	3.0	observed	15
01089	3.0	observed	16
01089	3.0	observed	17
01089	3.0	observed	18
01089	4.0	observed	19
01089	4.0	observed	20
01089	4.0	observed	21
01089	4.0	observed	22
01089	4.0	observed	23
01089	4.0	observed	24
01089	4.0	observed	25
01089	4.0	observed	26
01089	4.0	observed	27
01089	4.0	observed	28
01089	4.0	observed	29
01089	4.0	observed	30
01089	4.0	observed	31
01089	4.0	observed	32
01089	4.0	observed	33
01089	4.0	observed	34
01089	4.0	observed	35
01089	4.0	observed	36
01089	4.0	observed	37
01089	4.0	observed	38
01089	4.0	observed	39
01089	4.0	observed	40
01089	4.0	observed	41
01089	4.0	observed	42
01089	4.0	observed	43
01089	4.0	observed	44
01091	1.0	observed	0
01091	1.0	observed	1
01091	1.0	observed	2
01091	1.0	observed	3
01091	1.0	observed	4
01091	1.0	observed	5
01091	1.0	observed	6
01091	1.0	observed	7
01091	1.0	observed	8
01091	1.0	observed	9
01091	1.0	observed	10
01091	1.0	observed	11
01091	1.0	observed	12
01091	2.0	observed	13
01091	2.0	observed	14
01091	3.0	observed	15
01091	3.0	observed	16
01091	3.0	observed	17
01091	3.0	observed	18
01091	3.0	observed	19
01091	3.0	observed	20
01091	3.0	observed	21
01091	3.0	observed	22
01091	3.0	observed	23
01091	3.0	observed	24
01091	3.0	observed	25
01091	3.0	observed	26
01091	3.0	observed	27
01091	3.0	observed	28
01091	3.0	observed	29
01091	4.0	observed	30
01091	4.0	observed	31
01091	4.0	observed	32
01091	4.0	observed	33
01093	1.0	observed	0
01093	1.0	observed	1
01093	1.0	observed	2
01093	1.0	observed	3
01093	1.0	observed	4
01093	2.0	observed	5
01093	2.0	observed	6
01093	2.0	observed	7
